Date,Closing,Volume,Open,High,Low
2025-06-10,25.549,3360193,25.6806,25.7147,25.4027
2025-06-11,25.2662,4030885,25.4612,25.5295,25.2515
2025-06-12,25.744,3234502,25.4807,25.744,25.4514
2025-06-13,25.2857,5147301,25.2857,25.51,25.193
2025-06-16,25.4417,3965382,25.4124,25.666,25.4027
2025-06-17,25.0224,4487991,25.1296,25.2954,25.0029
2025-06-18,25.2369,2880672,25.3247,25.4417,25.2077
2025-06-20,24.135,8333681,24.3788,24.3788,24.0765
2025-06-23,23.8132,8944579,23.4036,23.8424,23.3061
2025-06-24,24.369,6395653,24.1252,24.4032,24.0521
2025-06-25,24.3008,3555154,24.3885,24.4129,24.2423
2025-06-26,24.9054,5198043,24.7201,24.9736,24.7006
2025-06-27,25.6465,6147996,25.6855,25.783,25.4953
2025-06-30,25.3832,4394825,25.1589,25.4027,25.0809
2025-07-01,24.8371,8264251,24.7688,24.9639,24.6518
2025-07-02,25.0711,4646206,24.8469,25.0906,24.8371
2025-07-03,24.9444,2282827,24.8078,25.0126,24.7298
2025-07-07,24.6713,4072388,24.7786,24.9054,24.5251
2025-07-08,24.6226,3702673,24.6518,24.6811,24.5055
2025-07-09,24.5446,3866873,24.5055,24.5641,24.3885
2025-07-10,24.0375,6566525,24.1301,24.1545,23.9497
2025-07-11,23.8229,4546685,23.8815,23.8815,23.7157
2025-07-14,23.7937,3246614,23.7449,23.8327,23.6669
2025-07-15,23.4816,5238643,23.6084,23.6377,23.4426
2025-07-16,23.3841,7648996,23.2379,23.3841,23.1842
2025-07-17,23.8034,5557700,23.6962,23.8327,23.6279
2025-07-18,23.3256,3080666,23.5011,23.5401,23.2915
2025-07-21,23.4719,2751870,23.4036,23.6377,23.3939
2025-07-22,23.4914,2899498,23.5109,23.5548,23.4378
2025-07-23,24.6323,5848217,24.5251,24.9639,24.5153
2025-07-24,24.7493,5830291,25.0516,25.0516,24.7201
2025-07-25,24.2618,3727406,24.3885,24.4178,24.174
2025-07-28,23.7547,2298290,23.8181,23.8815,23.6864
2025-07-29,23.5499,3296953,23.7352,23.8132,23.5109
2025-07-30,23.5987,2794236,23.7644,23.7888,23.506
2025-07-31,23.7157,3787577,23.9692,23.9692,23.6133
2025-08-01,23.7644,4951309,23.7157,23.8132,23.5743
2025-08-04,24.1447,2362176,23.9107,24.1545,23.9107
2025-08-05,23.9205,3702942,23.979,24.0584,23.7742
2025-08-06,24.3008,5571805,24.408,24.4275,24.2081
2025-08-07,25.3832,6712824,25.4417,26.0463,25.2077
2025-08-08,26.4754,4947030,26.2316,26.6119,26.2316
2025-08-11,26.6021,3651433,26.4754,26.6753,26.4607
2025-08-12,26.5144,4994803,26.4754,26.5924,26.3486
2025-08-13,27.2847,3798116,27.0702,27.3432,27.0214
2025-08-14,27.0507,2316987,27.0117,27.1091,26.8752
2025-08-15,28.0258,5183717,28.2696,28.4354,27.9527
2025-08-18,27.6455,3244281,27.587,27.704,27.5188
2025-08-19,27.5383,2849740,27.587,27.7235,27.5188
2025-08-20,27.4212,2823684,27.3627,27.4505,27.197
2025-08-21,26.9434,2930222,26.9971,27.1181,26.8654
2025-08-22,27.8991,4489819,27.6163,27.9771,27.5773
2025-08-25,27.4212,3237503,27.548,27.6455,27.4212
2025-08-26,27.1872,2821219,27.0994,27.2457,27.0312
2025-08-27,27.1482,3643123,26.9142,27.1628,26.8557
2025-08-28,27.3042,4573840,27.3725,27.4504,27.275
2025-08-29,26.8362,3038041,26.9044,26.9288,26.7533
2025-09-02,26.2803,4919100,26.134,26.4071,25.9304
2025-09-03,26.3583,3295949,26.2901,26.4168,26.2316
2025-09-04,27.1482,3226232,26.8557,27.1726,26.8362
2025-09-05,26.8849,2620614,27.0994,27.1482,26.7728
2025-09-08,27.9576,4596135,27.5968,27.9966,27.5773
2025-09-09,27.9966,3214315,28.0356,28.0697,27.8698
2025-09-10,27.9381,3934213,28.1624,28.2599,27.8601
2025-09-11,28.4647,4384121,28.0551,28.5134,28.0551
2025-09-12,28.4842,4680754,28.2794,28.6743,28.2404
2025-09-15,28.6109,2900585,28.6499,28.7084,28.4842
2025-09-16,28.1039,2809118,28.1039,28.1136,27.8406
2025-09-17,28.4354,3240529,28.2989,28.5865,28.177
2025-09-18,29.3228,4258227,29.2935,29.4983,29.1765
2025-09-19,28.6304,4238955,28.7475,28.7523,28.5632
2025-09-22,28.9912,3854530,28.767,29.0205,28.7573
2025-09-23,29.0205,3734516,29.157,29.157,28.9717
2025-09-24,28.6109,5517438,28.4744,28.6889,28.4354
2025-09-25,29.0888,4792312,28.9815,29.163,28.7328
2025-09-26,29.04,5873510,28.884,29.3667,28.806
2025-09-29,29.1,3049339,29.04,29.13,28.97
2025-09-30,28.79,3455065,28.71,28.8,28.54
2025-10-01,28.74,2947264,28.79,29.01,28.73
2025-10-02,28.08,6133321,28.07,28.14,27.79
2025-10-03,28.96,4296681,28.68,29.0,28.67
2025-10-06,30.1,6413704,30.1,30.195,30.03
2025-10-07,29.74,10172320,29.82,30.0,29.69
2025-10-08,29.75,3975127,29.9,29.9586,29.75
2025-10-09,29.84,5144678,30.25,30.285,29.6912
2025-10-10,28.25,6862123,28.88,28.985,28.005
2025-10-13,28.87,3402885,28.59,28.9699,28.5622
2025-10-14,28.83,3963670,28.28,28.965,28.26
2025-10-15,28.89,2482740,28.97,29.07,28.605
2025-10-16,28.5,4430554,28.76,28.77,28.42
2025-10-17,28.9,4124642,28.64,29.055,28.62
